Std.Ord,Run.Ord,Blk.Pos,Blocks,A,B,C,D,E,F,G,db
43,1,9,1,1,-1,1,-1,1,-1,-1,58.04
26,2,6,1,-1,1,1,-1,-1,1,-1,75.39
8,3,4,1,-1,-1,-1,1,1,1,-1,61.9
1,4,1,1,-1,-1,-1,-1,-1,-1,1,67.91
51,5,13,1,1,1,-1,-1,1,-1,-1,56.89
54,6,16,1,1,1,-1,1,-1,1,1,71.94
53,7,15,1,1,1,-1,1,-1,-1,-1,66.86
2,8,2,1,-1,-1,-1,-1,-1,1,-1,76.49
25,9,5,1,-1,1,1,-1,-1,-1,1,68.4
32,10,8,1,-1,1,1,1,1,1,-1,60.5
52,11,14,1,1,1,-1,-1,1,1,1,70.02
45,12,11,1,1,-1,1,1,-1,-1,-1,64.73
31,13,7,1,-1,1,1,1,1,-1,1,52.15
44,14,10,1,1,-1,1,-1,1,1,1,69.86
46,15,12,1,1,-1,1,1,-1,1,1,70.14
7,16,3,1,-1,-1,-1,1,1,-1,1,51.12
3,17,1,2,-1,-1,-1,-1,1,-1,-1,58.78
56,18,16,2,1,1,-1,1,1,1,-1,58.86
41,19,9,2,1,-1,1,-1,-1,-1,1,67.24
48,20,12,2,1,-1,1,1,1,1,-1,58.86
5,21,3,2,-1,-1,-1,1,-1,-1,-1,64.94
6,22,4,2,-1,-1,-1,1,-1,1,1,70.97
4,23,2,2,-1,-1,-1,-1,1,1,1,68.35
30,24,8,2,-1,1,1,1,-1,1,1,69.41
50,25,14,2,1,1,-1,-1,-1,1,-1,76.36
28,26,6,2,-1,1,1,-1,1,1,1,69.89
49,27,13,2,1,1,-1,-1,-1,-1,1,66.69
55,28,15,2,1,1,-1,1,1,-1,1,51.39
29,29,7,2,-1,1,1,1,-1,-1,-1,64.75
42,30,10,2,1,-1,1,-1,-1,1,-1,77
27,31,5,2,-1,1,1,-1,1,-1,-1,58.56
47,32,11,2,1,-1,1,1,1,-1,1,52.76
24,33,8,3,-1,1,-1,1,1,1,1,59
35,34,9,3,1,-1,-1,-1,1,-1,1,58.69
60,35,14,3,1,1,1,-1,1,1,-1,69.32
36,36,10,3,1,-1,-1,-1,1,1,-1,70.28
9,37,1,3,-1,-1,1,-1,-1,-1,-1,66.91
62,38,16,3,1,1,1,1,-1,1,-1,72.22
38,39,12,3,1,-1,-1,1,-1,1,-1,69.08
37,40,11,3,1,-1,-1,1,-1,-1,1,64.26
17,41,5,3,-1,1,-1,-1,-1,-1,-1,66.98
18,42,6,3,-1,1,-1,-1,-1,1,1,74.16
16,43,4,3,-1,-1,1,1,1,1,1,58.86
23,44,7,3,-1,1,-1,1,1,-1,-1,53.59
10,45,2,3,-1,-1,1,-1,-1,1,1,74.83
15,46,3,3,-1,-1,1,1,1,-1,-1,53.7
59,47,13,3,1,1,1,-1,1,-1,1,57.74
61,48,15,3,1,1,1,1,-1,-1,1,66.16
64,49,16,4,1,1,1,1,1,1,1,58.44
40,50,12,4,1,-1,-1,1,1,1,1,61.03
14,51,4,4,-1,-1,1,1,-1,1,-1,70.47
12,52,2,4,-1,-1,1,-1,1,1,-1,70.03999999999999
19,53,5,4,-1,1,-1,-1,1,-1,1,57.67
33,54,9,4,1,-1,-1,-1,-1,-1,-1,67.63
13,55,3,4,-1,-1,1,1,-1,-1,1,63.25
39,56,11,4,1,-1,-1,1,1,-1,-1,51.99
21,57,7,4,-1,1,-1,1,-1,-1,1,64.76
22,58,8,4,-1,1,-1,1,-1,1,-1,72.04
34,59,10,4,1,-1,-1,-1,-1,1,1,76.85
58,60,14,4,1,1,1,-1,-1,1,1,75.88
11,61,1,4,-1,-1,1,-1,1,-1,1,58.62
57,62,13,4,1,1,1,-1,-1,-1,-1,69.8
63,63,15,4,1,1,1,1,1,-1,-1,51.75
20,64,6,4,-1,1,-1,-1,1,1,-1,69.93
